appid,name,content
380,Half-Life 2: Episode One,half life 2 episode one action adventure aliens atmospheric cinematic classic dystopian episodic fps first person great soundtrack moddable puzzle sci fi shooter short silent protagonist singleplayer story rich zombies action adventure aliens atmospheric cinematic classic dystopian episodic fps first person great soundtrack moddable puzzle sci fi shooter short silent protagonist singleplayer story rich zombies half life 2 has sold over 4 million copies worldwide and earned over 35 game of the year awards episode one is the first in a series of games that reveal the aftermath of half life 2 and launch a journey beyond city 17 also features two multiplayer games half life 2 not required
400,Portal,portal action adventure atmospheric classic comedy dark humor fps female protagonist first person funny great soundtrack physics platformer puzzle sci fi science short singleplayer story rich strategy action adventure atmospheric classic comedy dark humor fps female protagonist first person funny great soundtrack physics platformer puzzle sci fi science short singleplayer story rich strategy portal trade is a new single player game from valve set in the mysterious aperture science laboratories portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay
420,Half-Life 2: Episode Two,half life 2 episode two action adventure aliens atmospheric classic dystopian episodic fps first person great soundtrack horror multiplayer post apocalyptic puzzle sci fi shooter silent protagonist singleplayer story rich zombies action adventure aliens atmospheric classic dystopian episodic fps first person great soundtrack horror multiplayer post apocalyptic puzzle sci fi shooter silent protagonist singleplayer story rich zombies half life reg 2 episode two is the second in a trilogy of new games created by valve that extends the award winning and best selling half life reg adventure as dr gordon freeman you were last seen exiting city 17 with alyx vance as the citadel erupted amidst a storm of unknown proportions
440,Team Fortress 2,team fortress 2 action cartoon cartoony class based co op comedy competitive crafting fps first person free to play funny moddable multiplayer online co op robots shooter tactical team based trading action cartoon cartoony class based co op comedy competitive crafting fps first person free to play funny moddable multiplayer online co op robots shooter tactical team based trading nine distinct classes provide a broad range of tactical abilities and personalities constantly updated with new game modes maps equipment and most importantly hats
500,Left 4 Dead,left 4 dead action adventure atmospheric co op competitive fps female protagonist first person horror moddable multiplayer online co op post apocalyptic replay value shooter singleplayer survival tactical team based zombies action adventure atmospheric co op competitive fps female protagonist first person horror moddable multiplayer online co op post apocalyptic replay value shooter singleplayer survival tactical team based zombies from valve the creators of counter strike half life and more comes left 4 dead a co op action horror game for the pc and xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters
550,Left 4 Dead 2,left 4 dead 2 action adventure co op fps first person gore horror local co op moddable multiplayer online co op post apocalyptic replay value shooter singleplayer survival survival horror tactical team based zombies action adventure co op fps first person gore horror local co op moddable multiplayer online co op post apocalyptic replay value shooter singleplayer survival survival horror tactical team based zombies set in the zombie apocalypse left 4 dead 2 l4d2 is the highly anticipated sequel to the award winning left 4 dead the 1 co op game of 2008 this co operative action horror fps takes you and your friends through the cities swamps and cemeteries of the deep south from savannah to new orleans across five expansive campaigns
570,Dota 2,dota 2 action action rpg character customization co op competitive difficult fantasy free to play moba multiplayer online co op pvp rpg rts replay value simulation strategy team based tower defense e sports action action rpg character customization co op competitive difficult fantasy free to play moba multiplayer online co op pvp rpg rts replay value simulation strategy team based tower defense e sports every day millions of players worldwide enter battle as one of over a hundred dota heroes and no matter if it s their 10th hour of play or 1 000th there s always something new to discover with regular updates that ensure a constant evolution of gameplay features and heroes dota 2 has taken on a life of its own
620,Portal 2,portal 2 action adventure atmospheric co op comedy fps female protagonist first person funny local co op multiplayer online co op platformer puzzle sci fi science singleplayer space story rich strategy action adventure atmospheric co op comedy fps female protagonist first person funny local co op multiplayer online co op platformer puzzle sci fi science singleplayer space story rich strategy the quot perpetual testing initiative quot has been expanded to allow you to design co op puzzles for you and your friends
630,Alien Swarm,alien swarm action adventure aliens class based co op free to play moddable multiplayer online co op pve sci fi shooter singleplayer strategy survival team based third person third person shooter top down top down shooter action adventure aliens class based co op free to play moddable multiplayer online co op pve sci fi shooter singleplayer strategy survival team based third person third person shooter top down top down shooter co operative multiplayer game and complete code base available for free
730,Counter-Strike: Global Offensive,counter strike global offensive action co op competitive difficult fps fast paced first person military moddable multiplayer online co op pvp realistic shooter strategy tactical team based trading war e sports action co op competitive difficult fps fast paced first person military moddable multiplayer online co op pvp realistic shooter strategy tactical team based trading war e sports counter strike global offensive cs go expands upon the team based action gameplay that it pioneered when it was launched 19 years ago cs go features new maps characters weapons and game modes and delivers updated versions of the classic cs content de dust2 etc
1002,Rag Doll Kung Fu,rag doll kung fu fighting indie multiplayer fighting indie multiplayer featuring a wide collection of single and multiplayer games either online or with multiple mice rag doll kung fu provides players with one of the most creative and unique game experiences delivered in years
1200,Red Orchestra: Ostfront 41-45,red orchestra ostfront 41 45 action atmospheric classic fps historical military multiplayer realistic shooter simulation singleplayer strategy tactical team based war world war ii action atmospheric classic fps historical military multiplayer realistic shooter simulation singleplayer strategy tactical team based war world war ii fight in the theatre of war that changed the world forever battle alongside your compatriots on some of the most inhospitable environments of the eastern front in red orchestra ostfront 41 45 red orchestra places you in the most realistic wwii first person multi player combat to date on the pc allowing the player to fight through
1250,Killing Floor,killing floor action adventure class based co op comedy difficult fps first person gore great soundtrack horror moddable multiplayer online co op shooter singleplayer survival survival horror team based zombies action adventure class based co op comedy difficult fps first person gore great soundtrack horror moddable multiplayer online co op shooter singleplayer survival survival horror team based zombies 6 player co op survival horror at its finest free updates free special events and a ridiculous amount of fun
1300,SiN Episodes: Emergence,sin episodes emergence action classic cyberpunk episodic fps first person gore old school sci fi shooter short singleplayer action classic cyberpunk episodic fps first person gore old school sci fi shooter short singleplayer you are john blade commander of hardcorps an elite security force dedicated to protecting the people of freeport city four years have passed since your first battle with elexis sinclaire a beautiful brilliant and ruthless scientist who is out to remake humanity according to her own twisted vision
1500,Darwinia,darwinia action indie rts retro singleplayer story rich strategy top down action indie rts retro singleplayer story rich strategy top down combining fast paced action with strategic battle planning darwinia features a novel and intuitive control mechanism a graphical style ripped from 80 s retro classics like tron and defender and a story concerning a tribe of nomadic sprites trapped in a modern 3d world
1510,Uplink,uplink 2d addictive atmospheric classic cyberpunk experimental great soundtrack hacking indie perma death puzzle real time with pause rogue like sci fi simulation singleplayer story rich strategy 2d addictive atmospheric classic cyberpunk experimental great soundtrack hacking indie perma death puzzle real time with pause rogue like sci fi simulation singleplayer story rich strategy you play an uplink agent who makes a living by performing jobs for major corporations your tasks involve hacking into rival computer systems stealing research data sabotaging other companies laundering money erasing evidence or framing innocent people
