appid,name,content
421140,Blades of the Righteous,blades of the righteous casual fantasy indie rpg rogue lite strategy strategy rpg tactical turn based combat turn based strategy casual fantasy indie rpg rogue lite strategy strategy rpg tactical turn based combat turn based strategy defend your kingdom against the dark forces micromanage your army train soldiers and defeat the enemy in turn based battles
421180,Umbra: Shadow of Death,umbra shadow of death action indie platformer action indie platformer just as you were enjoying a walk with your sister she was kidnapped by evil space robots umbra shadow of death is a 2d physics platform puzzle game that has seven large levels for you to conquer it has puzzles traps monsters robots a high performance truck and a mini gun
421260,Militia,militia procedural generation strategy turn based turn based strategy procedural generation strategy turn based turn based strategy militia is a tight turn based strategy game that brings the thrill of victory to single player it s simple to pick up and from the moment you start you ll be learning and improving building your skills learning new strategies and ranking up on the single player ladder
421600,Ray Gigant,ray gigant adventure anime dungeon crawler jrpg rpg visual novel adventure anime dungeon crawler jrpg rpg visual novel ray gigantis a unique dungeon crawler rpg which combines dungeon crawling adventure with japanese visual novel like story telling players will first be introduced to the gripping tale of ichiyawho is a young fighter shrouded in mystery
421610,XBlaze Code: Embryo,xblaze code embryo adventure anime cute singleplayer story rich visual novel adventure anime cute singleplayer story rich visual novel set 150 years before the events of blazblue calamity trigger xblaze code embryo is a visual novel that follows touya kagari a high school student whose world is turned upside down when he is attacked by a seemingly otherworldly being and saved by a mysterious girl named es
421620,Dissonance: An Interactive Novelette,dissonance an interactive novelette indie short story rich indie short story rich dissonance follows the story of bartholomew brittle a movie theater projectionist and clementine cleu an inquisitive theater patron in a thought provoking discussion of the meaning of life
421630,A Study in Steampunk: Choice by Gaslight,a study in steampunk choice by gaslight choose your own adventure indie interactive fiction rpg steampunk text based choose your own adventure indie interactive fiction rpg steampunk text based steam powered mechs meet forbidden sorcery in this interactive steampunk novel inspired by sherlock holmes dracula jekyll amp hyde and jack the ripper
421660,Harmonia,harmonia adventure anime casual great soundtrack post apocalyptic robots sci fi simulation story rich visual novel adventure anime casual great soundtrack post apocalyptic robots sci fi simulation story rich visual novel from renowned visual novel studio key which brought you the highly rated visual novel planetarian the reverie of a little planet this is harmonia the latest kinetic novel in the series
421670,CUPID - A free to play Visual Novel,cupid a free to play visual novel anime dark female protagonist free to play horror indie mature nudity otome psychological horror rpg romance sexual content simulation singleplayer story rich visual novel anime dark female protagonist free to play horror indie mature nudity otome psychological horror rpg romance sexual content simulation singleplayer story rich visual novel quot love is both poison and cure both knife and remedy quot set in 18th century france this is a gothic romance tale about loss revenge and the different faces of love
421700,Sakura Santa,sakura santa adventure anime casual dating sim mature memes nudity sexual content singleplayer story rich visual novel adventure anime casual dating sim mature memes nudity sexual content singleplayer story rich visual novel koji is feeling a bit down this year is the first christmas he s spending alone after moving away from home to attend the university of his dreams he found his college life to be rather lonely feeling distraught he wanders to his local shrine to make an offering
421710,Space Live - Advent of the Net Idols,space live advent of the net idols anime casual comedy cute funny great soundtrack memes nudity singleplayer visual novel anime casual comedy cute funny great soundtrack memes nudity singleplayer visual novel humanity abandoned reality and decided to reside in net space net space is divided into a number of factions and every four years they hold a concert for control of all the spaces with such high stakes at play the heated battle between space idols shall commence
421740,Goetia,goetia 2d adventure atmospheric female protagonist gothic horror indie mystery point click puzzle supernatural 2d adventure atmospheric female protagonist gothic horror indie mystery point click puzzle supernatural goetia is a point amp click adventure where you play the ghost of a young lady you are abigail abigail blackwood
421810,OH! RPG!,oh rpg adventure anime casual indie jrpg rpg rpgmaker strategy adventure anime casual indie jrpg rpg rpgmaker strategy heroes always win but what happens to those who don t play as unique and colorful characters as the world comes to an end after our heroes utter defeat
421870,Quatros Origins,quatros origins casual indie puzzle casual indie puzzle quatros origins is a block puzzle game that tries to reconnect with the good old days where classic arcade games were easy to play but hard to master
421880,Plastiland,plastiland 3d platformer action action adventure adventure animation modeling atmospheric cartoon cartoony casual comedy family friendly funny hand drawn indie platformer puzzle puzzle platformer side scroller singleplayer strategy 3d platformer action action adventure adventure animation modeling atmospheric cartoon cartoony casual comedy family friendly funny hand drawn indie platformer puzzle puzzle platformer side scroller singleplayer strategy plastiland is a puzzle platformer set in a unique hand made plasticine world guide our lovely clay characters through 48 levels of three worlds save as many of plastiballs as you can reach far corners of each level by transforming them into one of eight roles like cruncher crusher builder and others
421890,Avaris 2: The Return of the Empress,avaris 2 the return of the empress action casual simulation action casual simulation check out this battlefield management game from japanese indie developer studio giw you are the empress fighting to take back control of the avaris empire battle by battle as you recover territory the number of fighters grows to near epic proportions up to 36 000 individual warriors on the battlefield
422010,Eczema Angel Orifice,eczema angel orifice adventure indie sexual content violent adventure indie sexual content violent the only game that will turn you into a woman
422020,Dark Days,dark days action indie top down shooter zombies action indie top down shooter zombies in dark days you need to escape the infected island of colbrook try to save as many survivors as you can and secure safe houses protect your surroundings search and scavenge locations and ultimately don t get killed a 3d top down zombie survival shooter with a compelling story and character development
422030,ReVeN: XBridge,reven xbridge action indie rpg shoot em up action indie rpg shoot em up xbridge is a 2d shooter online game set in the scifi reven universe construct your own levels and share them with the world using our intuitive built in level editor unlock new ships craft weapons armor and abilities xbridge has everything for a casual and hardcore gaming experience
422100,Heaven Island Life,heaven island life indie simulation vr indie simulation vr quot heaven island vive quot is an experience designed for the htc vive in which you ll explore wonderful places the inspiration for the environments comes from the book quot origins of architectural pleasure quot in which the welfare is of primary importance the game requires the htc vive device
422110,Wand Wars,wand wars 2d 4 player local action arcade controller difficult fighting great soundtrack indie local multiplayer pixel graphics singleplayer sports 2d 4 player local action arcade controller difficult fighting great soundtrack indie local multiplayer pixel graphics singleplayer sports ride brooms cast spells and transform your enemies into chickens in this intense magical sport
422130,Comic Book Hero: The Greatest Cape,comic book hero the greatest cape management rpg simulation singleplayer superhero management rpg simulation singleplayer superhero assume the role of a masked crime fighter and take part in adventures ranging from the streets of your city to the farthest reaches of the galaxy write your own super heroic story as you take on every foe from petty thugs to cosmic villains in this unique role playing simulation adventure
422140,Wrestling Spirit 3,wrestling spirit 3 simulation sports wrestling simulation sports wrestling take control of the career of a professional wrestler guiding him through the world title wins the tough matches and the rivalries control matches negotiate contracts manage personal finances navigate backstage politics and more in this text based pro wrestling role playing simulation
422210,Rise of Keepers,rise of keepers early access indie rpg strategy tower defense early access indie rpg strategy tower defense rise of keepers is a mix of the best old school rpgs and tower defense games explore a huge map get resources build structures fight powerful enemies loot and the most important protect the crystal
422250,ShipLord,shiplord action adventure arcade bullet hell casual indie shoot em up space action adventure arcade bullet hell casual indie shoot em up space shiplord is a space avoid er mixed with interesting boss fights and breathtaking visuals with a reward system to take your skill to another lvl
422270,City Play,city play city builder indie simulation strategy city builder indie simulation strategy cityplay is a city builder simulator create your own dream city in this
422300,Element,element action indie strategy action indie strategy element is a realtime strategy space game for people who don t have time to play realtime strategy space games generate energy mine element build attack and defence units and destroy the enemy while maintaining a balance between earth air and water
422420,Godus Wars,godus wars casual early access god game indie multiplayer simulation strategy casual early access god game indie multiplayer simulation strategy godus wars mixes tactical real time strategy gameplay with the mechanics of the god game genre it s fun it s simple and it s brutal
422500,Emmerholt: Prologue,emmerholt prologue action adventure indie rpg vr action adventure indie rpg vr this is the prologue of emmerholt an upcoming open world magic wielding story driven adventure game for the htc vive and oculus touch currently in development by oneiric entertainment
422510,DEMON'S TILT,demon s tilt action arcade bullet hell dark fantasy difficult early access fantasy fast paced gothic great soundtrack indie pinball retro score attack singleplayer action arcade bullet hell dark fantasy difficult early access fantasy fast paced gothic great soundtrack indie pinball retro score attack singleplayer turbo charged pinball returns now with bigger sprites more baddies more secrets amp more bullets demon s tilt pushes the limits of the video pinball genre with shmup amp hack n slash elements
422590,Wacky Wheels HD,wacky wheels hd 2 5d 4 player local cartoony classic funny indie local multiplayer racing retro split screen 2 5d 4 player local cartoony classic funny indie local multiplayer racing retro split screen the road is a dangerous place especially when overrun with wild animals in go karts this is the official reboot of apogee s classic racing game wacky wheels it features the ferocious critters cramped tracks and wicked powerups that fans of the original love
422610,1775: Rebellion,1775 rebellion board game historical strategy board game historical strategy command the armies of the british redcoats english loyalists german hessians american regulars patriots french regulars and native americans to decide the fate of the americas
422630,Metaverse Construction Kit,metaverse construction kit building casual crafting free to play indie multiplayer sandbox simulation singleplayer vr building casual crafting free to play indie multiplayer sandbox simulation singleplayer vr the metaverse construction kit is a virtual environment to construct your own 3d creations use the twenty four structural elements to define your structures and then style your creations with sixty four material types like organics metals minerals and composites then publish
422640,VR Karts SteamVR,vr karts steamvr casual indie racing vr casual indie racing vr this version of vr karts is designed specifically and only compatible for htc vive the checkered flag is about to drop on a new virtual reality racing experience get in the drivers seat of your own customized kart and race against other players from around the world
422650,Megamagic: Wizards of the Neon Age,megamagic wizards of the neon age 1980s action adventure cyberpunk great soundtrack indie isometric local co op rpg strategy 1980s action adventure cyberpunk great soundtrack indie isometric local co op rpg strategy prepare to delve into a fascinating world where the forces of technology and magic are embroiled in a vicious struggle blurring the lines between the rpg and strategy genres megamagic recaptures the unmistakable flavour of the 80s in a game magnified by the incredible music by mitch murder
422760,Ocean Rift,ocean rift adventure casual indie vr vr only adventure casual indie vr vr only ocean rift is the world s first vr aquatic safari park explore a vivid underwater world full of life including dolphins sharks orcas turtles sea snakes rays manatees sea lions whales and even dinosaurs
422810,River City Ransom: Underground,river city ransom underground 2d 4 player local action action rpg beat em up cartoon co op competitive great soundtrack indie local co op local multiplayer online co op open world pixel graphics pve pvp rpg retro side scroller 2d 4 player local action action rpg beat em up cartoon co op competitive great soundtrack indie local co op local multiplayer online co op open world pixel graphics pve pvp rpg retro side scroller alex and ryan must take to the streets to help a new crop of fighters you ll earn money unlock moves and upgrade your skills in a sprawling city this modern take on an old classic features over 500 unique street fighting moves dozens of weapons and fun online multiplayer modes
422860,Holodance,holodance casual dragons early access indie music rhythm sports vr vr only casual dragons early access indie music rhythm sports vr vr only punch orbs with your hands deflect projectiles with laserblades shoot drones with guns or dance with dragons using native songs player created osu beatmaps or any song from your local music library in the most advanced vr rhythm game
422870,Super Duper Flying Genocide 2017,super duper flying genocide 2017 action adventure indie memes simulation violent action adventure indie memes simulation violent super duper flying genocide 2017 is funny game about ufo that wanna cath all peoples on the earth do you wanna help him
422900,Particle Fleet: Emergence,particle fleet emergence great soundtrack indie pixel graphics rts real time with pause sci fi simulation space strategy tower defense great soundtrack indie pixel graphics rts real time with pause sci fi simulation space strategy tower defense build and design your own fleets and stand opposed to the particulate in this physics strategy rts fleet hybrid build partially destructible and self repairing ships that interact with enemies less controlled by some scripted logic and more driven by a real time massive physics particle simulation
422910,Creeper World: Anniversary Edition,creeper world anniversary edition indie simulation strategy tower defense indie simulation strategy tower defense imagine an enemy that is everywhere and moves like a giant organic mass across the map imagine your base and your people surrounded by a blanket of crushing destruction from all directions your only hope well what hope then you take the high ground and pound this enemy into oblivion
422920,Creeper World 2: Anniversary Edition,creeper world 2 anniversary edition indie simulation strategy indie simulation strategy deceptively simple amazingly deep creeper world 2 thrusts you into the 14th millennium fighting and enemy that flows and oozes through the terrain employ advanced weapons gravity manipulating repulsors wormhole like rifts and your own wit against this never yielding enemy
422940,Divergence: Online,divergence online action early access indie massively multiplayer rpg sandbox action early access indie massively multiplayer rpg sandbox divergence online is an open world sandbox mmo that began as the spiritual successor to pre nge swg but since has grown into its own living breathing universe divergence was designed to provide unmatched crafting player and guild housing and player freedom on a scale we believe never before achieved
422970,Devil Daggers,devil daggers action arcade arena shooter atmospheric bullet hell casual demons difficult fps fast paced first person gore horror indie lovecraftian pixel graphics retro shooter singleplayer survival action arcade arena shooter atmospheric bullet hell casual demons difficult fps fast paced first person gore horror indie lovecraftian pixel graphics retro shooter singleplayer survival devil daggers is a fast paced shooter that places you in an abyssal arena to face endless legions of demons armed with versatile magic daggers and a fluid movement system fight to survive as long as you can
422980,Super Robot Jump Jump,super robot jump jump 2d action adventure co op difficult funny great soundtrack indie local multiplayer platformer 2d action adventure co op difficult funny great soundtrack indie local multiplayer platformer super robot jump jump is a 2d platformer with a simple control scheme featuring co op gameplay you can tackle the challenge alone or with a friend be ready for a hilariously difficult time with 80 levels and multiple worlds each with their own challenges to discover
423120,Community College Hero: Trial by Fire,community college hero trial by fire choose your own adventure indie rpg superhero text based choose your own adventure indie rpg superhero text based outwit your professors at superpower school ace your exams date classmates and bring down the nation s most wanted villains to earn your degree
423180,A.I. Space Corps,a i space corps action arcade casual indie sci fi simulation singleplayer space strategy top down shooter action arcade casual indie sci fi simulation singleplayer space strategy top down shooter a i space corps is a top down space shooter telling a new story of mankinds struggle against the merciless a i machines ruling over the universe
423220,T-Kara Puzzles,t kara puzzles asynchronous multiplayer atmospheric casual family friendly indie multiplayer puzzle relaxing replay value singleplayer touch friendly turn based asynchronous multiplayer atmospheric casual family friendly indie multiplayer puzzle relaxing replay value singleplayer touch friendly turn based unique match 4 puzzle game filled with fun variations and exciting challenges
423230,Furi,furi action anime arcade atmospheric beat em up bullet hell character action game controller cyberpunk difficult fast paced great soundtrack hack and slash indie sci fi singleplayer spectacle fighter story rich stylized top down action anime arcade atmospheric beat em up bullet hell character action game controller cyberpunk difficult fast paced great soundtrack hack and slash indie sci fi singleplayer spectacle fighter story rich stylized top down the jailer is the key kill him and you ll be free
423270,ZHEROS,zheros action arcade beat em up fighting indie local co op local multiplayer singleplayer action arcade beat em up fighting indie local co op local multiplayer singleplayer zheros is a new gen 3d beat em up based on the genre hallmarks above all smashing hordes of enemies and punching stuff
423320,Pendragon Rising,pendragon rising choose your own adventure indie rpg text based choose your own adventure indie rpg text based seize the throne in the age of king arthur lead an army of britons against the darkest of enemies in this epic interactive medieval fantasy novel
423440,Choice of Kung Fu,choice of kung fu choose your own adventure indie rpg text based choose your own adventure indie rpg text based become the world s greatest kung fu fighter or find true enlightenment in this interactive fantasy novel what question will you ask the dragon sage
423490,Air Missions: HIND,air missions hind action casual co op flight indie military multiplayer realistic shooter simulation singleplayer tactical team based action casual co op flight indie military multiplayer realistic shooter simulation singleplayer tactical team based air missions hind is an action combat flight simulator based on the russian mi 24 hind assault helicopter you will be deployed to the battlefield either on your own or with a friend
423550,Day D: Tower Rush,day d tower rush casual indie strategy tower defense casual indie strategy tower defense onwards to the past learn the real power of science help the professor and his loyal companion deal with hordes of dinosaurs
423580,Project Highrise,project highrise 2d building casual economy indie management sandbox simulation singleplayer strategy 2d building casual economy indie management sandbox simulation singleplayer strategy project highrise is a skyscraper construction and management sim
423590,The Little Acre,the little acre 2d adventure colorful comedy fantasy female protagonist funny hand drawn hidden object indie isometric narration point click puzzle short singleplayer story rich 2d adventure colorful comedy fantasy female protagonist funny hand drawn hidden object indie isometric narration point click puzzle short singleplayer story rich while searching for his father aidan travels to a strange new world lily his heroic daughter sets off after him fully voiced and with hand drawn animations the little acre is a lovingly crafted adventure developed by pewter games with executive producer charles cecil
423600,Adelantado Trilogy. Book one,adelantado trilogy book one adventure casual simulation strategy adventure casual simulation strategy feel what it s like to be a pioneer in south america discover the secrets of the jungle find riches and glory with adelantado
423610,Where's My Mommy?,where s my mommy 2d action adventure casual funny illuminati indie memes psychological horror racing simulation 2d action adventure casual funny illuminati indie memes psychological horror racing simulation poopy was living happily with his mother in a dark and moist place that was their home then one night a violent and unexpected earthquake ejected poopy s mother from their nest leaving the little child alone and terrified and so poopy began a dangerous journey to save his mother s life
423620,HERO DEFENSE,hero defense action co op indie multiplayer rpg strategy tower defense action co op indie multiplayer rpg strategy tower defense creeps crumble heroes rise command a team of renegade heroes and impale slash tear and burn through legions of undead hell bent on world domination your mission to defeat the world s most powerful vampire count necrosis
423650,Summer Fling,summer fling anime casual dating sim indie nudity sexual content visual novel anime casual dating sim indie nudity sexual content visual novel you are entering your summer break before university begins and what better way to spend a summer break than at the lake with two friends will the summer become an unforgettable time or will it just fade away welcome to your summer fling
423700,Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,apocalypse hotel the post apocalyptic hotel simulator action rpg atmospheric casual crafting dark indie open world pixel graphics rpg rpgmaker sandbox simulation survival horror zombies action rpg atmospheric casual crafting dark indie open world pixel graphics rpg rpgmaker sandbox simulation survival horror zombies can you run a successful hotel even though the world has ended repair renovate and decorate the apocalypse hotel while fending off zombies mutants and the alien gogfang
423710,Invasion: Brain Craving,invasion brain craving action adventure casual early access indie rpg rpgmaker simulation strategy survival horror action adventure casual early access indie rpg rpgmaker simulation strategy survival horror it s the zombie slaying survival game with jrpg elements you didn t know you wanted get swarmed by zombies in active time battles search for other survivors eat and most importantly survive
423720,Color Chaos,color chaos action casual indie twin stick shooter action casual indie twin stick shooter color chaos is a twin stick shooter that delivers fun and chaotic color swapping arcade action that will keep you coming back time and time again to beat the highscores on the leaderboards
423730,Hyper Gods,hyper gods action early access indie retro shoot em up action early access indie retro shoot em up hyper gods is a 2d cinematic 80 s influenced shoot em up that places you in frantically fast 1v1 battles against the gods dodge boost and shoot your way to protect mankind and prevent its extinction
423740,Save Your Mother,save your mother 2d action adventure anime atmospheric cute fantasy female protagonist indie memes rpg rpgmaker singleplayer story rich 2d action adventure anime atmospheric cute fantasy female protagonist indie memes rpg rpgmaker singleplayer story rich alice andersson a world renowned scholar faces a dilemma of grand proportions when her mother falls gravely ill no traditional cures have been able to save her not even the most unconventional methods have worked join her as she discovers the legend about the elohim cube a mystical artifact that might be their only hope
423750,Gardenarium,gardenarium casual indie psychedelic casual indie psychedelic gardenarium is a chill adventure taking place on a cloud in the sky you land as a stranger and struggle to gain access to the mysterious depot by picking up trash and making the land grow
423760,Hit Tank PRO,hit tank pro 2d action adventure arcade atmospheric casual funny indie level editor retro shoot em up shooter singleplayer strategy stylized survival tanks war wargame world war ii 2d action adventure arcade atmospheric casual funny indie level editor retro shoot em up shooter singleplayer strategy stylized survival tanks war wargame world war ii hit tank pro is an addictive game of fast action that combines strategy action and challenge ready to take on the fight complete your mission while fighting cunning enemies in unique environments
423770,Our Love Will Grow,our love will grow adventure agriculture crafting indie pixel graphics rpg rpgmaker simulation adventure agriculture crafting indie pixel graphics rpg rpgmaker simulation our love will grow is a farming game in the style of harvest moon with a different party to attend each week grow your farm uncover secrets and attract girls by presenting them with food and jewellery you make yourself
423780,Zero Gravity,zero gravity action adventure casual co op early access indie multiplayer platformer puzzle puzzle platformer rpg simulation space space sim strategy action adventure casual co op early access indie multiplayer platformer puzzle puzzle platformer rpg simulation space space sim strategy zero gravity is a beautiful first person third person puzzle platformer simulation game where you will undergo four types of game modes
423800,Automata Empire,automata empire education indie rts simulation strategy education indie rts simulation strategy seize power and build an empire of fuzzy cellular automata monsters herd hundreds of mindless subjects to smash your rivals castles and steal their territory in this rts inspired by conway s game of life
423810,Marooners,marooners 4 player local action casual indie local multiplayer multiplayer 4 player local action casual indie local multiplayer multiplayer play a wild mix of fun party games as the action regularly switches back and forth between games can you handle the switcheroo chaos join your friends both on the couch and online while sadistically laughing at their misfortune or come back to haunt them if you die
423870,Astervoid 2000,astervoid 2000 4 player local action arcade casual competitive indie local co op local multiplayer retro twin stick shooter 4 player local action arcade casual competitive indie local co op local multiplayer retro twin stick shooter astervoid 2000 is a 1 to 4 player local multiplayer space brawler combining classic arcade action with modern gameplay explosive indestructible and icy asteroids will slam against your ship or can be weaponized against your opponents perfect support for gamepads amp keyboard and mouse
423880,Carpe Diem,carpe diem 2d anime casual cute dating sim free to play horror illuminati indie mature memes nudity psychological horror sexual content short singleplayer visual novel 2d anime casual cute dating sim free to play horror illuminati indie mature memes nudity psychological horror sexual content short singleplayer visual novel in this very short kinetic novel you will play as jung who s meeting up and hanging out with a girl named ai spend your time wisely
423890,Gods and Idols,gods and idols early access free to play god game massively multiplayer rpg rts space strategy early access free to play god game massively multiplayer rpg rts space strategy take the role of a newly ascended deity in gods and idols carve your place among the stars in an open dynamic and massive mmorts universe command the powers of the cosmos form alliances and use your worshipers as instruments to further your goals
423900,Dinocide,dinocide 2d action adventure atmospheric casual classic colorful dinosaurs family friendly fantasy funny indie pixel graphics platformer rpg singleplayer 2d action adventure atmospheric casual classic colorful dinosaurs family friendly fantasy funny indie pixel graphics platformer rpg singleplayer dinocide is a classic nes inspired old school single player platformer in a prehistoric fantasy world dinocide tries to capture the drive and fun of that era and recreate it in a modern way
423950,Deadlight: Director's Cut,deadlight director s cut 2 5d 2d action adventure atmospheric parkour platformer post apocalyptic side scroller singleplayer story rich zombies 2 5d 2d action adventure atmospheric parkour platformer post apocalyptic side scroller singleplayer story rich zombies a zombie outbreak eradicated all hope of returning life back to normal now only survival lives on run hide and fight your way through the undead as randall searches for his family in this gorgeous gritty destroyed world
424000,Project Pulsation,project pulsation action adventure fps horror action adventure fps horror project pulsation a sci fi first person shooter with elements of horror and stealth the distant space station complex located nearby thanatos asteroid keeps a valuable artifact fight your way through turrets unknown creatures and mysterious ghosts survive and try to get back
424010,Crudelis,crudelis adventure casual indie rpg rpgmaker adventure casual indie rpg rpgmaker crudelis is a 60 minutes rpg game during which every decision has its meaning unfriendly steampunk world follows your every choice bringing unsuspected consequences will you manage to solve the mystery of your own death
424030,War of Rights,war of rights action america early access fps first person gore historical indie massively multiplayer military multiplayer realistic simulation singleplayer strategy violent war action america early access fps first person gore historical indie massively multiplayer military multiplayer realistic simulation singleplayer strategy violent war war of rights is a first person multiplayer game with a focus on historical authenticity set during the perilous days of the american civil war in the maryland campaign of september 1862
424040,Fragmental,fragmental 4 player local action early access indie local multiplayer multiplayer twin stick shooter 4 player local action early access indie local multiplayer multiplayer twin stick shooter an intense competitive and co operative couch play multiplayer twin stick shooter with some of the fastest and most frantic gameplay around it s a single screen explosive arcade blast of fun where the weapons and arenas are deadly and the rivalry is fierce
424060,The Glow,the glow exploration indie rpg rpgmaker rogue lite strategy survival exploration indie rpg rpgmaker rogue lite strategy survival red pill every day will keep you sane the glow is a single player survival game with roguelike elements take control over one of the six characters explore semi randomly generated world and try to survive without losing your sanity in the process
424100,Celestrion,celestrion simulation simulation play inside your very own orrery a working heliocentric 3d model of our solar system learn the basic facts about each of the planets and witness them and their moons up close in accurate orbital relation to each other
424170,The fall of gods,the fall of gods action action rpg adventure fantasy indie magic rpg rpgmaker strategy action action rpg adventure fantasy indie magic rpg rpgmaker strategy old school action rpg the fall of gods is an indie game humbly inspired by action rpg you used to play on 16 bit consoles zelda secret of mana alundra it was played by more than 75 000 gamers on pc and xbox so far
424200,Little Mouse's Encyclopedia,little mouse s encyclopedia casual colorful cute education family friendly indie casual colorful cute education family friendly indie an interactive encyclopedia for kids and their parents
424210,SodaCity,sodacity action beat em up difficult fast paced indie retro shoot em up shooter side scroller action beat em up difficult fast paced indie retro shoot em up shooter side scroller sodacity is an action fast paced game with hybrid beat shoot em up gameplay
424250,Balrum,balrum adventure crpg crafting fantasy indie isometric open world rpg sandbox strategy survival turn based combat adventure crpg crafting fantasy indie isometric open world rpg sandbox strategy survival turn based combat balrum is an old school hybrid turn based open world rpg with deep tactical combat explore a huge living fantasy world with dozens of side quests next to an epic main quest grow your own crops build your home and craft your own custom items
424260,Feelings Adrift,feelings adrift horror indie horror indie feelings adrift is an amusement park with some plays each attraction have different environments and different goals some more scary than others but always with same intention make good experience in game with scenes completely frightening
424280,Iron Snout,iron snout 2d 2d fighter action arcade beat em up blood cartoon casual co op cute difficult fast paced fighting free to play funny gore indie singleplayer survival violent 2d 2d fighter action arcade beat em up blood cartoon casual co op cute difficult fast paced fighting free to play funny gore indie singleplayer survival violent iron snout is a fast colorful and brutal fighting game in which you will be helping a piglet fight for its life against hordes of wolves
424310,Blessed Ones: The Magic Wolves,blessed ones the magic wolves early access indie jrpg party based rpg rpg resource management early access indie jrpg party based rpg rpg resource management blessed ones the magic wolves is a silly little fairy tale about wolves magic ones obviously and pigs and adventurers coming in the form of a japanese style rpg focused on strategic turn based combat and party building it is goofy flexible difficult emergent and open in more ways than you might expect
424320,Anomaly 1729,anomaly 1729 adventure casual indie puzzle adventure casual indie puzzle come explore the world of phiohm where up can be down left can be right and the way forward is never what it seems guide newly cognizant ano on a journey of self discovery by learning how to manipulate this ever changing world
424370,Wolcen: Lords of Mayhem,wolcen lords of mayhem action action rpg adventure character customization early access fantasy hack and slash indie isometric loot mmorpg medieval multiplayer nudity open world rpg singleplayer action action rpg adventure character customization early access fantasy hack and slash indie isometric loot mmorpg medieval multiplayer nudity open world rpg singleplayer a dynamic hack n slash with no class restrictions choose your path as you level up and play your character the way you want explore this shattered and corrupted world to uncover its ancient secrets and hidden truths
424610,Peasant Knight,peasant knight action casual indie action casual indie peasant knight is a challenging puzzle platformer that you can play with only two keys jump and stop all the while you re relentlessly dashing forward into traps enemies and hazards
424640,Karaski: What Goes Up...,karaski what goes up action adventure alternate history atmospheric conspiracy conversation dark comedy first person funny indie multiple endings mystery political politics rpg singleplayer stealth steampunk story rich action adventure alternate history atmospheric conspiracy conversation dark comedy first person funny indie multiple endings mystery political politics rpg singleplayer stealth steampunk story rich the glorious commonwealth s first airship has been sabotaged uncover what the passengers are hiding and write the grisly conclusion open ended who done it mystery where others may suspect you if you re not careful dzi kujemy
424750,The BoX,the box casual indie casual indie the box takes the speed of a beloved platformer of old and mixes it up with color based powers and adaptations here you will find a mystery only you can solve with complex challenges along the way to guide you in finding the answer use the 6 colors at your disposal to take on the treacherous box and find your way to freedom
424760,Bladestar,bladestar 2d action arcade controller difficult fast paced indie procedural generation sci fi shoot em up shooter space 2d action arcade controller difficult fast paced indie procedural generation sci fi shoot em up shooter space bladestar is a sci fi cinematic action shooter featuring visually rich worlds with potentially endless enemies on each level defend the galaxy flying a manta starfighter through asteroid mine and debris fields while battling pirates rebels and aliens
424780,Imperia Online,imperia online action free to play massively multiplayer simulation strategy action free to play massively multiplayer simulation strategy experience vast amount of gameplay mechanics and compete with thousands of players in a totally realistic medieval strategic simulation
424830,Bell Ringer,bell ringer action indie multiplayer platformer action indie multiplayer platformer bell ringer is a fast paced arena pvp brawler with local and online multiplayer gather your friends and brace yourselves for some intense brawling choose between five unique characters with different weapons special moves and styles
424840,Little Nightmares,little nightmares 2 5d action adventure atmospheric dark female protagonist great soundtrack horror indie platformer psychological horror puzzle puzzle platformer short singleplayer stealth story rich strategy survival horror third person 2 5d action adventure atmospheric dark female protagonist great soundtrack horror indie platformer psychological horror puzzle puzzle platformer short singleplayer stealth story rich strategy survival horror third person immerse yourself in little nightmares a dark whimsical tale that will confront you with your childhood fears help six escape the maw a vast mysterious vessel inhabited by corrupted souls looking for their next meal
424850,Galactineers,galactineers adventure crafting indie sandbox simulation space strategy adventure crafting indie sandbox simulation space strategy galactineers is a genre mix of open world sandbox game and realtime strategy game you can use blocks and items to build your world in space and also construct your own ships win cooperative pve missions or pvp arena battles with your own custom ships
424870,Threads of Destiny,threads of destiny adventure casual indie rpg rpgmaker strategy adventure casual indie rpg rpgmaker strategy enjoy another classic 16 bit rpg from warfare studios a young girl has the ability to completely heal anyone with a simple touch follow illya and her two brothers on a quest to understand the gift she s been given
425010,ScudBuster,scudbuster action action missile command style shooter game with battleship strategy elements
425040,ComixPlay #1: The Endless Incident,comixplay 1 the endless incident adventure comic book indie adventure comic book indie comixplay the endless incident is a 124 page digital graphic novel where you can play the heroes in turn based combat
425070,Asteroids Minesweeper,asteroids minesweeper casual indie puzzle casual indie puzzle be careful of explosive mines asteroids minesweeper is an abstract casual minesweeper variant in three dimensions with some slight rules differences trim that asteroid and don t get too dizzy while rotating in a full 3d environment
425150,Assassins vs Pirates,assassins vs pirates 2d 4 player local action casual co op controller fighting funny indie local co op local multiplayer multiplayer online co op pirates swordplay 2d 4 player local action casual co op controller fighting funny indie local co op local multiplayer multiplayer online co op pirates swordplay swordplay and freerun through the internet and on a couch against your friends in a team brawl throw bombs use smokescreens and climb your way to the enemy base choose your side as a pirate or an assassin and feed the artifact with souls of your enemies
